Id,Name,Sport,SportId,StateName,StateId,CityName,CityId,Rating,SportRadarId,ImageUrl
99,Kansas City Royals,MLB,4,MO,25,Kansas City,23,1500,833a51a9-0d84-410f-bd77-da08c3e5e26e,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/royals.svg
100,Cleveland Indians,MLB,4,OH,35,Cleveland,13,1500,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/indians.svg
101,Chicago White Sox,MLB,4,IL,13,Chicago,11,1500,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/whitesox.svg
102,Detroit Tigers,MLB,4,MI,22,Detroit,17,1500,575c19b7-4052-41c2-9f0a-1c5813d02f99,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/tigers.svg
103,Minnesota Twins,MLB,4,MN,23,Minneapolis,30,1500,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/twins.svg
104,Seattle Mariners,MLB,4,WA,47,Seattle,52,1500,43a39081-52b4-4f93-ad29-da7f329ea960,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/mariners.svg
105,Los Angeles Angels,MLB,4,CA,5,Los Angeles,25,1500,4f735188-37c8-473d-ae32-1f7e34ccf892,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/angels.svg
106,Oakland Athletics,MLB,4,CA,5,Oakland,36,1500,27a59d3b-ff7c-48ea-b016-4798f560f5e1,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/athletics.svg
107,Texas Rangers,MLB,4,TX,43,Dallas,15,1500,d99f919b-1534-4516-8e8a-9cd106c6d8cd,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/rangers.svg
108,Houston Astros,MLB,4,TX,43,Houston,20,1500,eb21dadd-8f10-4095-8bf3-dfb3b779f107,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/astros.svg
109,Cincinnati Reds,MLB,4,OH,35,Cincinnati,12,1500,c874a065-c115-4e7d-b0f0-235584fb0e6f,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/reds.svg
110,Pittsburgh Pirates,MLB,4,PA,38,Pittsburgh,43,1500,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/pirates.svg
